,theme,time
0,able,86216.5
6926,active,1323.0
6927,active,93343.0
13852,actual,90528.0
20778,add,1301640.0
20779,add,36000.0
20780,add,335700.0
20781,add,1692720.0
20782,add,600678.0
27704,addition,10680.0
27705,addition,5940.0
27706,addition,6669.0
27707,addition,3060.0
34630,advise,36000.0
34631,advise,36000.0
34632,advise,5392080.0
34633,advise,5425.0
34634,advise,300.0
34635,advise,18000.0
34636,advise,399.3333333333333
34637,advise,2970.0
34638,advise,3956.0
34639,advise,74716.0
41556,african,39600.0
41557,african,682.0
41558,african,237065.0
41559,african,42120.0
41560,african,20220.0
48482,aftertaste,2577.0
48483,aftertaste,116330.5
48484,aftertaste,8546.0
48485,aftertaste,24085.833333333332
48486,aftertaste,10673.0
48487,aftertaste,33840.0
48488,aftertaste,57325.0
48489,aftertaste,1740.0
48490,aftertaste,83420.0
48491,aftertaste,1860154.0
48492,aftertaste,27303.0
48493,aftertaste,363192.5
48494,aftertaste,19589.85714285714
48495,aftertaste,378.0
48496,aftertaste,108300.0
48497,aftertaste,28163.2
48498,aftertaste,375650.75
48499,aftertaste,54.5
48500,aftertaste,2809.0
48501,aftertaste,11593.0
48502,aftertaste,63833.666666666664
48503,aftertaste,2157538.0
48504,aftertaste,2617724.0
48505,aftertaste,1746853.5
48506,aftertaste,65220.0
48507,aftertaste,1345204.5
48508,aftertaste,387019.0
48509,aftertaste,251023.0
48510,aftertaste,7827752.25
48511,aftertaste,8298547.0
48512,aftertaste,9058885.0
48513,aftertaste,6465456.333333333
48514,aftertaste,32400.0
48515,aftertaste,1260.0
48516,aftertaste,1092120.0
48517,aftertaste,32400.0
48518,aftertaste,32400.0
48519,aftertaste,346080.0
48520,aftertaste,1126620.0
48521,aftertaste,231420.0
48522,aftertaste,131353.33333333334
55408,allen,25.0
55409,allen,19500.0
62334,alley,3780.0
62335,alley,4950.0
62336,alley,316.0
69260,alliance,1950.0
69261,alliance,102780.0
76186,american,16175294.0
76187,american,36000.0
76188,american,390.0
76189,american,12924.0
76190,american,6300.0
76191,american,2880.0
76192,american,13912.0
76193,american,22415.666666666668
76194,american,600.0
76195,american,4950.0
83112,amish,240.0
83113,amish,36000.0
90038,analyze,36000.0
90039,analyze,43200.0
90040,analyze,36000.0
90041,analyze,165840.0
96964,annual,9635.5
96965,annual,3603.0
103890,approve,1381740.0
103891,approve,43200.0
103892,approve,52342.0
110816,aquatic,5710019.0
110817,aquatic,9427890.0
110818,aquatic,85001.0
110819,aquatic,29.0
110820,aquatic,999.0
110821,aquatic,90.0
110822,aquatic,900.0
110823,aquatic,1320.0
110824,aquatic,13176.0
110825,aquatic,5640.0
110826,aquatic,211500.0
110827,aquatic,1260.0
110828,aquatic,3900.0
110829,aquatic,5080.0
110830,aquatic,4050.0
110831,aquatic,540.0
110832,aquatic,25800.0
110833,aquatic,2100.0
110834,aquatic,12060.0
110835,aquatic,3840.0
110836,aquatic,12480.0
110837,aquatic,7680.0
110838,aquatic,4229220.0
110839,aquatic,18640.0
110840,aquatic,131850.0
110841,aquatic,38940.0
110842,aquatic,36000.0
110843,aquatic,300.0
