                           Multiple Comparison of Means - Tukey HSD, FWER=0.05                            
==========================================================================================================
              group1                            group2              meandiff p-adj  lower    upper  reject
----------------------------------------------------------------------------------------------------------
                              add                          addition   -9.106   0.9  -63.774  45.562  False
                              add                            advise  -2.7357   0.9 -47.3719 41.9006  False
                              add                           african   -8.396   0.9 -59.9374 43.1455  False
                              add                        aftertaste   3.9294   0.9 -34.6743 42.5331  False
                              add                             alley  -9.1474   0.9 -68.6623 50.3676  False
                              add                          american  -9.0532   0.9 -54.5085 36.4021  False
                              add                           analyze  -8.3691   0.9 -63.0371 46.2989  False
                              add                           approve  -3.4829   0.9 -62.9979 56.0321  False
                              add                           aquatic    0.152   0.9 -38.5041 38.8081  False
                              add                               ask  -7.6292   0.9 -47.0915 31.8331  False
                              add                            attach  -2.2157   0.9 -42.2779 37.8466  False
                              add                        attachment  -5.3176   0.9 -51.7764 41.1413  False
                              add                            attend  -7.4413   0.9 -62.1093 47.2267  False
                              add                           autopsy  -3.4217   0.9 -39.9181 33.0747  False
                              add                                be  -3.9258   0.9 -40.3845 32.5328  False
                              add                            behold  -1.5238   0.9 -41.3195 38.2719  False
                              add                      belmont_park  -6.2699   0.9 -60.9379 48.3981  False
                              add                              belt  -8.0888   0.9 -62.7568 46.5792  False
                              add                           bespeak   -8.427   0.9 -57.7742 40.9202  False
                              add                              best  -5.4135   0.9 -48.7921 37.9651  False
                              add                            boards  -8.9395   0.9 -68.4545 50.5755  False
                              add                     boundary_line  -8.4818   0.9 -53.9371 36.9735  False
                              add                            breach  -8.5722   0.9 -68.0872 50.9428  False
                              add                       bureaucracy  -8.1033   0.9 -55.8214 39.6149  False
                              add                               buy  -6.2324   0.9 -57.7739 45.3091  False
                              add                             cable  -2.9008   0.9 -40.3788 34.5772  False
                              add                        california  -4.0908   0.9 -40.9251 32.7435  False
                              add                               can  -7.7455   0.9 -47.6694 32.1783  False
                              add                          capacity  -6.3328   0.9 -49.7114 37.0458  False
                              add                            column  -8.3418   0.9 -56.0599 39.3763  False
                              add                              come  -8.7151   0.9 -60.2566 42.8264  False
                              add                       communicate  -7.8703   0.9 -67.3853 51.6447  False
                              add                           company  -4.5917   0.9 -41.8077 32.6242  False
                              add                       competition   -1.412   0.9 -40.0157 37.1917  False
                              add                           concern  -9.0618   0.9 -63.7298 45.6062  False
                              add                        conference  -5.8709   0.9 -42.8217   31.08  False
                              add                        conformity  -7.9973   0.9 -67.5123 51.5177  False
                              add                         consensus   5.6586   0.9 -49.0094 60.3266  False
                              add                          continue  -8.8418   0.9 -68.3568 50.6731  False
                              add                            cooler  -5.9461   0.9 -57.4876 45.5954  False
                              add                              crap  -2.0665   0.9 -42.2786 38.1456  False
                              add                           current  -8.9087   0.9 -68.4236 50.6063  False
                              add                              data  -3.1783   0.9  -39.728 33.3714  False
                              add                               day  -6.7511   0.9 -44.3916 30.8895  False
                              add                          deadline  -6.3089   0.9 -54.0271 41.4092  False
                              add                              deal  -2.2776   0.9 -39.2776 34.7225  False
                              add                              deem  -8.6351   0.9  -50.095 32.8249  False
                              add                       delinquency  -6.1416   0.9 -43.6435 31.3603  False
                              add                         democracy  -5.0865   0.9 -52.8047 42.6316  False
                              add                            desire  -5.9906   0.9 -46.3656 34.3844  False
                              add                       development   0.2793   0.9 -37.0002 37.5587  False
                              add                           diamond   21.947   0.9  -37.568  81.462  False
                              add                       diamondback  -7.1171   0.9  -53.576 39.3418  False
                              add                              dick  -7.3459   0.9 -50.7245 36.0327  False
                              add                      distribution  -1.6025   0.9 -50.9497 47.7448  False
                              add                 district_attorney  -8.4377   0.9 -49.3987 32.5233  False
                              add                            easter  -8.0184   0.9 -62.6864 46.6496  False
                              add                           edition  -8.6733   0.9 -51.1308 33.7842  False
                              add            electrical_engineering   -5.502   0.9 -42.1111 31.1071  False
                              add                   electronic_mail  -3.3479   0.9 -41.4736 34.7778  False
                              add                           embargo  -8.2102   0.9 -51.5888 35.1685  False
                              add                            energy   -2.784   0.9 -39.7463 34.1783  False
                              add                           envelop  -6.2151   0.9 -65.7301 53.2998  False
                              add                            europe   -8.828   0.9  -63.496   45.84  False
                              add                         execution  10.3151   0.9 -34.3211 54.9513  False
                              add                       extenuation  -8.3024   0.9 -53.7577  37.153  False
                              add     eysenck_personality_inventory  -5.2563   0.9 -42.7114 32.1988  False
                              add federal_communications_commission  -6.1052   0.9 -44.8163 32.6059  False
                              add                          feedback  -8.0707   0.9 -62.7387 46.5973  False
                              add                         fiduciary  -2.9708   0.9 -43.1829 37.2413  False
                              add                              find  -1.8656   0.9 -45.2442  41.513  False
                              add                             first  -9.0436   0.9 -63.7116 45.6244  False
                              add                              font  -8.7034   0.9 -52.0821 34.6752  False
                              add                             force  -5.4194   0.9 -44.3811 33.5423  False
                              add                           forward    -0.44   0.9 -40.9926 40.1126  False
                              add                              free  -8.5307   0.9 -60.0722 43.0108  False
                              add                               get  -8.4516   0.9 -47.2206 30.3174  False
                              add                             ghost  -8.4023   0.9 -67.9172 51.1127  False
                              add                              give  -8.5752   0.9 -60.1167 42.9663  False
                              add                              good  -6.1182   0.9 -51.5735 39.3371  False
                              add                            graham   0.6678   0.9 -58.8471 60.1828  False
                              add                         grapevine  -3.5269   0.9 -41.2337 34.1799  False
                              add                              have  -5.3885   0.9 -42.0609 31.2839  False
                              add                           hawkins   6.3878   0.9 -53.1272 65.9028  False
                              add                            hazard  -5.0552   0.9 -47.9403 37.8299  False
                              add                          hazelnut  -3.8458   0.9 -51.5639 43.8724  False
                              add                              help  -7.9913   0.9 -67.5062 51.5237  False
                              add                              hope   -8.929   0.9 -68.4439  50.586  False
                              add                               hot  15.6109   0.9 -43.9041 75.1259  False
                              add         hypertext_markup_language   -8.274   0.9 -55.9921 39.4442  False
                              add                           include  -8.2064   0.9 -59.7478 43.3351  False
                              add                       independent  -4.4405   0.9 -40.9562 32.0752  False
                              add                            indian   -4.012   0.9 -45.7653 37.7414  False
                              add                       information  -3.5571   0.9  -40.044 32.9299  False
                              add                            intend  -2.2721   0.9 -61.7871 57.2429  False
                              add                        interested  -7.5652   0.9 -62.2332 47.1028  False
                              add                            jobber  -6.4023   0.9 -51.8576  39.053  False
                              add                          jonathan   0.8652   0.9 -41.2183 42.9486  False
                              add                              just  -5.4115   0.9 -54.7587 43.9358  False
                              add                             karen   8.3271   0.9 -43.2144 59.8686  False
                              add                              keep  -8.9504   0.9 -68.4654 50.5646  False
                              add                              know     -8.5   0.9 -50.9575 33.9575  False
                              add                             large  -3.1154   0.9 -62.6304 56.3995  False
                              add                             leave  -9.1488   0.9 -68.6637 50.3662  False
                              add                               let  -0.9638   0.9 -46.4191 44.4915  False
                              add                              link  -9.0543   0.9 -58.4015 40.2929  False
                              add                          longhorn   2.9982   0.9 -56.5168 62.5132  False
                              add                              look   -9.009   0.9 -60.5505 42.5325  False
                              add                             lumen  -0.9958   0.9  -50.343 48.3514  False
                              add                              make   -5.266   0.9 -42.1346 31.6027  False
                              add                         mammogram  -8.2961   0.9 -51.6747 35.0825  False
                              add                            manner   0.5498   0.9  -37.434 38.5336  False
                              add                              mark  -5.6578   0.9 -45.0233 33.7076  False
                              add                          medicare  -1.6727   0.9 -45.6274  42.282  False
                              add                         megahertz  -8.4063   0.9  -52.361 35.5484  False
                              add                             metro  -5.5886   0.9 -46.1412  34.964  False
                              add                           michael   5.8722   0.9 -35.5878 47.3321  False
                              add                        milliliter  -4.5656   0.9 -41.2876 32.1565  False
                              add                           million  -4.4133   0.9 -40.9711 32.1445  False
                              add                           minutes  -5.2348   0.9 -42.6788 32.2092  False
                              add                          misstate  -6.9482   0.9 -49.0316 35.1352  False
                              add                            mister  -4.3647   0.9 -52.0828 43.3534  False
                              add                    monetary_value  -8.0167   0.9 -46.3917 30.3583  False
                              add                             money  -5.1996   0.9 -44.0936 33.6944  False
                              add                              more  -8.9459   0.9 -60.4874 42.5956  False
                              add                            mortal   6.0409   0.9 -41.6772 53.7591  False
                              add                              much   -9.165   0.9  -63.833  45.503  False
                              add                           natural  -6.5011   0.9 -58.0426 45.0404  False
                              add                       necessitate  -8.2449   0.9 -51.6235 35.1337  False
                              add                       negotiation  -8.6836   0.9 -58.0308 40.6636  False
                              add                               new  -7.3725   0.9 -48.5699 33.8249  False
                              add                              noon  -4.3554   0.9 -43.4644 34.7536  False
                              add                          northern  -9.1258   0.9 -68.6408 50.3892  False
                              add                           numbers  -6.1298   0.9 -43.2025 30.9429  False
                              add                             omaha  -8.5275   0.9 -54.9864 37.9313  False
                              add                                on  -4.4048   0.9 -41.0766 32.2671  False
                              add                       opportunity  -9.0072   0.9 -60.5487 42.5342  False
                              add                               owe  -8.8736   0.9 -68.3886 50.6414  False
                              add                            parent  -7.8417   0.9 -59.3832 43.6998  False
                              add                               pay  -8.5161   0.9 -54.9749 37.9428  False
                              add                       performance  -7.7757   0.9 -54.2345 38.6832  False
                              add                            please  -5.5617   0.9 -44.1154  32.992  False
                              add                            plenty   6.1407   0.9 -53.3743 65.6557  False
                              add                     post_exchange  -6.0809   0.9 -48.1643 36.0026  False
                              add                         president  -7.4672   0.9 -47.8422 32.9078  False
                              add                           problem  -5.8706   0.9 -43.6514 31.9101  False
                              add                          proclaim  -6.3503   0.9  -46.027 33.3263  False
                              add                              pulp   -7.941   0.9 -51.8957 36.0137  False
                              add                               put  -3.1826   0.9 -57.8505 51.4854  False
                              add                        quadriceps  -8.5524   0.9 -56.2705 39.1658  False
                              add                             rates  -5.2343   0.9 -42.8013 32.3327  False
                              add                           receive   1.4794   0.9 -46.2387 49.1975  False
                              add                       recognition  -6.5971   0.9  -61.265 48.0709  False
                              add                             refer  -8.8814   0.9 -68.3963 50.6336  False
                              add                             river  -2.3461   0.9 -50.0642 45.3721  False
                              add                                ro    -8.56   0.9  -68.075 50.9549  False
                              add                          rounders  -7.5299   0.9 -59.0713 44.0116  False
                              add                              send  -8.2052   0.9 -48.5801 32.1698  False
                              add                            series  -5.6607   0.9 -55.0079 43.6865  False
                              add                              show  -4.6285   0.9 -64.1435 54.8865  False
                              add                               sit  -9.1267   0.9 -68.6417 50.3883  False
                              add                              site    1.055   0.9 -37.7749 39.8848  False
                              add                               sky  -8.2696   0.9 -62.9376 46.3984  False
                              add                          software  -0.4827   0.9 -44.4374  43.472  False
                              add                          solution  -5.7548   0.9 -43.4615  31.952  False
                              add                               sop  -6.6615   0.9  -49.119  35.796  False
                              add                             start  -8.7327   0.9 -68.2477 50.7823  False
                              add                         stateroom  -7.7258   0.9 -53.1811 37.7295  False
                              add                             steak   -0.725   0.9  -55.393  53.943  False
                              add                             stout  -8.8197   0.9 -63.4877 45.8483  False
                              add                            system  -3.9438   0.9 -40.4921 32.6046  False
                              add                              take  -5.0227   0.9 -54.3699 44.3245  False
                              add                           thymine  -7.1032   0.9 -54.8213  40.615  False
                              add                              time  -3.7525   0.9  -41.072 33.5669  False
                              add                             title  -7.2452   0.9 -46.9219 32.4314  False
                              add                             today   3.3839   0.9 -37.3632 44.1311  False
                              add                 topographic_point  -7.3739   0.9 -45.1746 30.4267  False
                              add                            travel  -0.1494   0.9 -38.9792 38.6805  False
                              add                            valley   2.2814   0.9 -47.0658 51.6286  False
                              add                           verdict  -8.8879   0.9  -56.606 38.8303  False
                              add                             video  -8.3276   0.9 -52.2823 35.6271  False
                              add                         vitamin_e   2.1063   0.9 -36.0838 40.2964  False
                              add                              week   -3.444   0.9 -39.9766 33.0886  False
                              add                              well   -9.137   0.9  -68.652 50.3779  False
                              add                              will  -1.4292   0.9 -38.3829 35.5244  False
                              add                          williams  -5.1367   0.9 -48.5153  38.242  False
                              add                              work  -8.6366   0.9 -57.9838 40.7106  False
                         addition                            advise   6.3703   0.9 -41.8423  54.583  False
                         addition                           african   0.7101   0.9 -53.9579 55.3781  False
                         addition                        aftertaste  13.0354   0.9 -29.6531  55.724  False
                         addition                             alley  -0.0413   0.9 -62.2836 62.2009  False
                         addition                          american   0.0528   0.9 -48.9191 49.0248  False
                         addition                           analyze    0.737   0.9 -56.8882 58.3621  False
                         addition                           approve   5.6231   0.9 -56.6191 67.8654  False
                         addition                           aquatic    9.258   0.9 -33.4779 51.9939  False
                         addition                               ask   1.4768   0.9 -41.9897 44.9433  False
                         addition                            attach   6.8904   0.9 -37.1216 50.9023  False
                         addition                        attachment   3.7885   0.9 -46.1164 53.6933  False
                         addition                            attend   1.6647   0.9 -55.9604 59.2898  False
                         addition                           autopsy   5.6843   0.9 -35.1085 46.4771  False
                         addition                                be   5.1802   0.9 -35.5788 45.9392  False
                         addition                            behold   7.5823   0.9 -36.1872 51.3517  False
                         addition                      belmont_park   2.8362   0.9  -54.789 60.4613  False
                         addition                              belt   1.0172   0.9 -56.6079 58.6423  False
                         addition                           bespeak    0.679   0.9 -51.9253 53.2833  False
                         addition                              best   3.6925   0.9 -43.3582 50.7433  False
                         addition                            boards   0.1665   0.9 -62.0757 62.4088  False
                         addition                     boundary_line   0.6242   0.9 -48.3477 49.5961  False
                         addition                            breach   0.5338   0.9 -61.7084 62.7761  False
                         addition                       bureaucracy   1.0027   0.9 -50.0765  52.082  False
                         addition                               buy   2.8736   0.9 -51.7943 57.5416  False
                         addition                             cable   6.2052   0.9 -35.4681 47.8785  False
                         addition                        california   5.0152   0.9 -36.0802 46.1106  False
                         addition                               can   1.3605   0.9 -42.5255 45.2465  False
                         addition                          capacity   2.7732   0.9 -44.2775  49.824  False
                         addition                            column   0.7642   0.9  -50.315 51.8434  False
                         addition                              come   0.3909   0.9 -54.2771 55.0589  False
                         addition                       communicate   1.2357   0.9 -61.0065  63.478  False
                         addition                           company   4.5143   0.9 -36.9235 45.9521  False
                         addition                       competition    7.694   0.9 -34.9945 50.3826  False
                         addition                           concern   0.0443   0.9 -57.5809 57.6694  False
                         addition                        conference   3.2351   0.9 -37.9647  44.435  False
                         addition                        conformity   1.1087   0.9 -61.1335  63.351  False
                         addition                         consensus  14.7646   0.9 -42.8605 72.3897  False
                         addition                          continue   0.2642   0.9 -61.9781 62.5064  False
                         addition                            cooler   3.1599   0.9 -51.5081 57.8279  False
                         addition                              crap   7.0395   0.9 -37.1089 51.1879  False
                         addition                           current   0.1974   0.9 -62.0449 62.4396  False
                         addition                              data   5.9277   0.9 -34.9128 46.7682  False
                         addition                               day    2.355   0.9 -39.4646 44.1746  False
                         addition                          deadline   2.7971   0.9 -48.2821 53.8763  False
                         addition                              deal   6.8285   0.9 -34.4156 48.0725  False
                         addition                              deem   0.4709   0.9 -44.8169 45.7588  False
                         addition                       delinquency   2.9644   0.9 -38.7304 44.6593  False
                         addition                         democracy   4.0195   0.9 -47.0597 55.0987  False
                         addition                            desire   3.1154   0.9 -41.1814 47.4122  False
                         addition                       development   9.3853   0.9 -32.1095 50.8801  False
                         addition                           diamond   31.053   0.9 -31.1893 93.2953  False
                         addition                       diamondback   1.9889   0.9 -47.9159 51.8937  False
                         addition                              dick   1.7601   0.9 -45.2906 48.8108  False
                         addition                      distribution   7.5036   0.9 -45.1007 60.1079  False
                         addition                 district_attorney   0.6683   0.9 -44.1633 45.4999  False
                         addition                            easter   1.0876   0.9 -56.5375 58.7128  False
                         addition                           edition   0.4327   0.9 -45.7702 46.6356  False
                         addition            electrical_engineering    3.604   0.9 -37.2897 44.4977  False
                         addition                   electronic_mail   5.7581   0.9 -36.4987 48.0149  False
                         addition                           embargo   0.8959   0.9 -46.1549 47.9466  False
                         addition                            energy    6.322   0.9 -34.8882 47.5322  False
                         addition                           envelop   2.8909   0.9 -59.3514 65.1331  False
                         addition                            europe    0.278   0.9 -57.3471 57.9032  False
                         addition                         execution  19.4211   0.9 -28.7915 67.6338  False
                         addition                       extenuation   0.8037   0.9 -48.1683 49.7756  False
